tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-09-04,Primetals Technologies,Cin,Tandem soguk hadde (TCM),Sozlesme,Primetals,,,Primetals Technologies Wins PLTCM Project in China,Bing News,https://note.com/sankituushin/n/nebe64a6ad351?hl=en,58.2,rss
2026-09-15,Flux Steel Works,ABD,Elektrik celigi hatti,Sozlesme,,,,Flux Steel Works Secures Ohio Plant to Produce Power Transformer Core Steel,Bing News,https://finance.yahoo.com/energy/articles/flux-steel-works-secures-ohio-120300709.html,57.6,rss
2026-09-17,AM/NS India,Hindistan,Zn-Al-Mg / Galvalume kaplama,Sozlesme,,,,AM/NS India Secures Two New BIS Licences for Advanced Q&T and Zn-Al-Mg Coated Steel,Ahmedabad Mirror,https://news.google.com/rss/articles/CBMixgFBVV95cUxNLWxqSTJweGtTTVRfaGJWcnVrWEd0aU9rUkFHMnA5MzVZU1pvNkFpUWZySVc4Yll2NFNfazBwZlI1dFZpVWpYT2cxa1RCNnloLW93Y2pPTnc2VllOV2FrU0VpMUJiSC1paVpTWlFpMmtCb3dMcnhSNGVnYlBULTd2S1BwWHJidVcxamJqbnEtM0NEMXY5amx1dU9YOGhleHJtdl9aQW4wVzkzTkpfY3BsOTdFWlZ4X0gwZXVMR082RWZSMXJnQ0E?oc=5,57.4,rss
2026-09-16,Chengde Steel,,Asitleme hatti,Sozlesme,Primetals,,,Primetals Technologies to supply continuous galvanizing and pickling line to Chengde Steel,Primetals Technologies,https://www.primetals.com/press-media/news/primetals-technologies-to-supply-continuous-galvanizing-and-pickling-line-to-chengde-steel,57.0,last-modified
2026-09-08,POSCO,,Galvaniz hatti (CGL),Sozlesme,,,,POSCO Invests 480 Billion Won in New Auto Steel Coating Plant,Bing News,https://en.sedaily.com/finance/2026/09/08/posco-invests-480-billion-won-in-new-auto-steel-plant,50.8,rss
2026-09-18,Danieli,Misir,Belirsiz,Sozlesme,Danieli,,,Danieli & C Officine Meccaniche S p A : Ezz Steel selects Danieli Automation for advanced MES digital platform,Bing News,https://www.marketscreener.com/news/danieli-c-officine-meccaniche-s-p-a-ezz-steel-selects-danieli-automation-for-advanced-mes-digita-ce785adadd88f725,50.8,rss
2026-09-10,Xinyu,,Elektrik celigi hatti,Ilk urun,,,,Xinyu inaugurates electrical steel production facility,Bing News,https://www.steeltimesint.com/news/xinyu-inaugurates-electrical-steel-production-facility,50.6,rss
2026-09-07,Posco,,Galvaniz hatti (CGL),Insaat,,,$354 million,"Posco breaks ground on first new auto-steel coating line in 9 years, investing W480b in Gwangyang",Bing News,https://biz.heraldcorp.com/article/10865917,46.4,rss
2026-09-21,,,Elektrik celigi hatti,Modernizasyon,,,,唐山市晟鑫冷轧薄板生产线升级改造项目生态环境影响报告书获批,Mysteel (haber),https://news.mysteel.com/a/26092109/0A0B14F6D5801083.html,45.0,json-ld
2026-09-15,Flux Steel,,Elektrik celigi hatti,Modernizasyon,,,,"Flux Steel to retrofit Stark County mill, challenge Cleveland-Cliffs' dominance in key transformer steel market",Bing News,https://www.bizjournals.com/cleveland/news/2026/09/15/flux-steel-works-grain-oriented-cleveland-cliffs.html,42.6,rss
2026-09-21,POSCO,,Galvaniz hatti (CGL),Teknoloji,,,,"POSCO to Build State-of-the-Art Galvanized Automotive Steel Sheet Plant, Bringing Together the Latest Automotive Steel Technologies 2026/09/21",POSCO,https://newsroom.posco.com/en/posco-to-build-state-of-the-art-galvanized-automotive-steel-sheet-plant-bringing-together-the-latest-automotive-steel-technologies/,42.0,metin
2026-09-18,European,Hindistan,Belirsiz,Modernizasyon,,,300 million eur,The European Commission is reviewing the purchase of Arvedi steel distributor AMCLN,Metallurgprom,https://metallurgprom.org/en/news/europe/21764-evrokomissija-proverjaet-sdelku-po-pokupke-arvedi-distribjutora-stali-amcln.html,36.8,json-ld
2026-09-16,Nippon Steel Backs,Slovakya,Belirsiz,Modernizasyon,,,900 Million Eur,Nippon Steel Backs 900 Million Euro Slovakia Steel Upgrade,Bing News,https://jp.ibtimes.com/nippon-steel-backs-900-million-euro-slovakia-steel-upgrade-104450,36.0,rss
2026-09-20,Did Electrical Steel,,Elektrik celigi hatti,Belirsiz,,,,Did Electrical Steel Expansion Just Shift Worthington Steel (WS) Investment Narrative?,simplywall.st,https://news.google.com/rss/articles/CBMizAFBVV95cUxPZzJnQkFHSnNNVDVBU1VSZnZIMXF4WG4wYjRyOHZQdkdfakxLU3lrZ2YxOC1acVU5V1dsU1RLcFhVZmpOMUZhZUJLa25vampucWVNTnlFODlTUXVrQ0Z1SGRDb29KNi0yVEkzUy0ta1dFQU1QOVdUSjY3QlUxT0ZQR0NwWXVOLWxNTHRQZmw4MklTNmpIb0NjMS1yeVBTVThtWkx5dmlNalBUeEN5bmdOVUdyRldESHRQY3JicTlHN29CVmxnaWpRQ2d1TkfSAdIBQVVfeXFMTlZwRFBaWEk3a0YyWFM0dzJySEZRT2daSHU3WWFYRjVpRFdTYjdxSW1GTnF3QUl1ZWpzVXlKTWM4VldXeTRzZGphQWZTQ2ZnNUhVMjc5Qlc4dGxNUmNWbmNZVElfdGFjd2lBUmhZUk5xMElnYk5KV3Z6cjV4cFl5N1p3NWxlcWh0VWw0VnVyVm4tUFRhR2sxd0hIbEthb08zMktzTjBuWGFscnU1cWk3eHhGM2lHRW9RMlhUMm5GdURhdlBaVGY1RjYxa1ZsWjJrNUJR?oc=5,5.6,rss
2026-09-21,POSCO,,Galvaniz hatti (CGL),Belirsiz,,,,"POSCO to Build State-of-the-Art Galvanized Automotive Steel Sheet Plant, Bringing Together the Latest Automotive Steel Technologies",포스코그룹 뉴스룸,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNRjdQdkp3TTgyQXluR1JnM29pUmoyT3NoUDZBenBrZk81RVZwNHo5NEZsVmpLVlVYNlZobEJVT0RPWWZTNno3NmM2X2FRNUpMazlkUG9HQzhRMmI5SktOYnVfa3ZSbzc2QlBwazd2V3NmS09LbUlXVW9rY0x0QXhBUklaUnN3RGVRUHQzb0laeXU3Q0FtZHlFYWlpRU5YSlg2Q19UMDNFdHZRS0U0aDRpTUZpOHZQUk9vUUU2dW00akUtOU9KTVhnbldUY00zbW96dnBfX2VRaFFRTGs3Ymx2QWs5UVhzSFFpY1dWY2JqcjdMV2s?oc=5,5.0,rss
